,Flight_ID,Source_Airport,Dest_Airport,Dep_Time,Arr_Time,Dep_Date,Arr_Date
464,13876,18,23,6,3,1,2
554,13966,18,20,6,9,1,1
572,13984,18,1,6,24,1,1
619,14031,18,25,6,7,1,1
50,13462,19,15,6,15,1,1
185,13597,19,2,6,20,1,1
36,13448,20,28,6,12,1,1
43,13455,22,26,6,17,1,1
168,13580,23,12,6,9,1,1
621,14033,24,13,6,10,1,1
901,14313,24,26,6,12,1,1
46,13458,27,14,6,3,1,2
488,13900,28,10,6,11,1,1
108,13520,30,29,6,17,1,1
229,13641,1,25,7,17,1,1
326,13738,1,15,7,2,1,2
831,14243,2,3,7,16,1,1
925,14337,3,26,7,14,1,1
694,14106,4,9,7,10,1,1
909,14321,4,21,7,8,1,1
359,13771,5,29,7,20,1,1
476,13888,5,12,7,13,1,1
578,13990,5,8,7,19,1,1
595,14007,5,10,7,6,1,2
277,13689,8,4,7,19,1,1
282,13694,8,21,7,22,1,1
676,14088,8,30,7,20,1,1
251,13663,9,21,7,3,1,2
480,13892,10,4,7,24,1,1
998,14410,10,22,7,17,1,1
310,13722,11,8,7,9,1,1
729,14141,11,15,7,11,1,1
825,14237,11,9,7,12,1,1
96,13508,13,16,7,8,1,1
386,13798,13,28,7,20,1,1
540,13952,13,11,7,6,1,2
212,13624,14,16,7,3,1,2
592,14004,14,1,7,22,1,1
784,14196,15,6,7,1,1,2
397,13809,17,2,7,1,1,2
649,14061,17,7,7,24,1,1
501,13913,18,26,7,2,1,2
766,14178,18,9,7,22,1,1
675,14087,19,18,7,3,1,2
800,14212,19,16,7,1,1,2
97,13509,20,9,7,14,1,1
163,13575,21,1,7,11,1,1
428,13840,21,19,7,13,1,1
681,14093,21,30,7,15,1,1
759,14171,21,29,7,11,1,1
110,13522,23,8,7,12,1,1
157,13569,24,3,7,16,1,1
279,13691,25,27,7,16,1,1
366,13778,25,6,7,8,1,1
415,13827,25,27,7,16,1,1
855,14267,25,12,7,16,1,1
815,14227,27,12,7,24,1,1
473,13885,29,12,7,18,1,1
903,14315,29,24,7,14,1,1
406,13818,30,29,7,23,1,1
791,14203,1,7,8,15,1,1
859,14271,1,24,8,22,1,1
21,13433,2,15,8,14,1,1
299,13711,2,8,8,15,1,1
293,13705,3,17,8,4,1,2
584,13996,3,11,8,21,1,1
26,13438,4,20,8,4,1,2
438,13850,4,30,8,12,1,1
214,13626,7,28,8,11,1,1
563,13975,7,6,8,1,1,2
792,14204,7,13,8,11,1,1
536,13948,9,20,8,20,1,1
116,13528,10,3,8,18,1,1
252,13664,10,12,8,19,1,1
577,13989,10,3,8,11,1,1
439,13851,12,11,8,6,1,2
897,14309,12,26,8,24,1,1
92,13504,13,15,8,9,1,1
472,13884,13,3,8,3,1,2
69,13481,14,6,8,9,1,1
181,13593,14,30,8,12,1,1
400,13812,14,13,8,24,1,1
990,14402,15,27,8,13,1,1
751,14163,16,24,8,11,1,1
850,14262,16,23,8,21,1,1
692,14104,17,5,8,15,1,1
226,13638,18,16,8,5,1,2
936,14348,18,12,8,13,1,1
769,14181,20,4,8,24,1,1
205,13617,21,5,8,24,1,1
266,13678,21,26,8,5,1,2
94,13506,23,17,8,10,1,1
319,13731,23,22,8,10,1,1
949,14361,23,19,8,11,1,1
341,13753,24,18,8,23,1,1
702,14114,27,15,8,22,1,1
762,14174,27,15,8,20,1,1
219,13631,29,12,8,4,1,2
264,13676,29,25,8,16,1,1
303,13715,29,22,8,3,1,2
821,14233,29,3,8,11,1,1
53,13465,1,4,9,14,1,1
542,13954,1,16,9,12,1,1
957,14369,1,19,9,10,1,1
475,13887,2,18,9,4,1,2
843,14255,2,24,9,19,1,1
380,13792,3,8,9,4,1,2
37,13449,4,8,9,16,1,1
308,13720,4,1,9,18,1,1
546,13958,4,29,9,18,1,1
361,13773,5,20,9,22,1,1
541,13953,5,7,9,4,1,2
618,14030,5,13,9,2,1,2
804,14216,5,8,9,14,1,1
986,14398,6,15,9,7,1,2
718,14130,7,13,9,7,1,2
23,13435,8,5,9,24,1,1
347,13759,8,4,9,16,1,1
426,13838,8,14,9,4,1,2
835,14247,9,17,9,6,1,2
449,13861,12,14,9,3,1,2
893,14305,12,26,9,2,1,2
775,14187,13,11,9,10,1,1
946,14358,13,8,9,14,1,1
75,13487,14,19,9,24,1,1
137,13549,14,17,9,10,1,1
725,14137,14,4,9,10,1,1
176,13588,15,14,9,4,1,2
423,13835,15,22,9,13,1,1
91,13503,16,14,9,11,1,1
124,13536,16,4,9,12,1,1
306,13718,16,15,9,21,1,1
348,13760,17,10,9,17,1,1
8,13420,18,4,9,11,1,1
1,13413,19,1,9,24,1,1
641,14053,19,1,9,23,1,1
758,14170,19,17,9,22,1,1
280,13692,20,29,9,20,1,1
240,13652,21,19,9,5,1,2
715,14127,21,29,9,12,1,1
370,13782,22,7,9,24,1,1
392,13804,23,2,9,2,1,2
560,13972,25,20,9,3,1,2
566,13978,26,14,9,2,1,2
286,13698,28,27,9,5,1,2
889,14301,28,1,9,18,1,1
493,13905,29,7,9,23,1,1
768,14180,29,25,9,7,1,2
309,13721,1,6,10,1,1,2
307,13719,2,13,10,13,1,1
571,13983,2,5,10,22,1,1
84,13496,3,1,10,7,1,2
528,13940,4,2,10,8,1,2
22,13434,5,21,10,11,1,1
4,13416,6,5,10,24,1,1
576,13988,6,27,10,5,1,2
745,14157,6,7,10,8,1,2
430,13842,7,1,10,23,1,1
995,14407,7,25,10,8,1,2
912,14324,8,4,10,8,1,2
291,13703,9,25,10,20,1,1
170,13582,10,19,10,5,1,2
739,14151,10,23,10,22,1,1
54,13466,11,3,10,6,1,2
250,13662,12,10,10,2,1,2
332,13744,12,11,10,16,1,1
827,14239,12,3,10,8,1,2
390,13802,13,12,10,17,1,1
840,14252,13,7,10,7,1,2
216,13628,14,29,10,24,1,1
805,14217,14,18,10,13,1,1
648,14060,16,22,10,6,1,2
86,13498,17,5,10,6,1,2
549,13961,17,18,10,13,1,1
0,13412,19,10,10,2,1,2
210,13622,20,8,10,8,1,2
673,14085,20,23,10,21,1,1
734,14146,20,19,10,20,1,1
138,13550,21,17,10,22,1,1
487,13899,22,29,10,6,1,2
385,13797,23,1,10,9,1,2
852,14264,23,14,10,9,1,2
356,13768,25,9,10,11,1,1
643,14055,25,10,10,2,1,2
402,13814,27,17,10,20,1,1
900,14312,27,24,10,22,1,1
368,13780,29,16,10,21,1,1
377,13789,29,30,10,4,1,2
144,13556,30,1,10,23,1,1
420,13832,30,16,10,1,1,2
477,13889,30,28,10,17,1,1
588,14000,1,26,11,23,1,1
637,14049,1,19,11,12,1,1
247,13659,3,22,11,23,1,1
756,14168,3,29,11,2,1,2
289,13701,4,20,11,15,1,1
169,13581,5,4,11,21,1,1
523,13935,6,22,11,1,1,2
882,14294,6,3,11,21,1,1
771,14183,7,18,11,9,1,2
960,14372,7,12,11,21,1,1
237,13649,8,16,11,21,1,1
446,13858,9,12,11,10,1,2
330,13742,10,22,11,7,1,2
203,13615,12,6,11,18,1,1
113,13525,13,24,11,7,1,2
413,13825,16,15,11,24,1,1
492,13904,16,3,11,19,1,1
189,13601,17,24,11,1,1,2
548,13960,17,16,11,7,1,2
628,14040,18,6,11,20,1,1
447,13859,20,3,11,23,1,1
81,13493,21,11,11,19,1,1
276,13688,21,22,11,17,1,1
248,13660,22,18,11,21,1,1
938,14350,22,30,11,3,1,2
15,13427,23,27,11,14,1,1
697,14109,23,14,11,17,1,1
533,13945,24,4,11,7,1,2
806,14218,24,1,11,21,1,1
27,13439,25,7,11,3,1,2
296,13708,25,11,11,6,1,2
40,13452,26,16,11,22,1,1
684,14096,26,30,11,21,1,1
42,13454,27,11,11,1,1,2
437,13849,27,9,11,8,1,2
786,14198,27,2,11,24,1,1
202,13614,29,17,11,24,1,1
930,14342,29,16,11,18,1,1
484,13896,30,3,11,23,1,1
723,14135,30,12,11,15,1,1
780,14192,30,20,11,20,1,1
954,14366,30,7,11,6,1,2
564,13976,1,4,12,8,1,2
837,14249,1,15,12,6,1,2
409,13821,2,11,12,3,1,2
568,13980,2,1,12,15,1,1
748,14160,2,26,12,1,1,2
515,13927,3,26,12,1,1,2
429,13841,4,19,12,23,1,1
726,14138,5,1,12,3,1,2
828,14240,6,27,12,22,1,1
460,13872,7,13,12,6,1,2
682,14094,7,18,12,4,1,2
774,14186,8,14,12,21,1,1
923,14335,8,2,12,19,1,1
228,13640,9,13,12,21,1,1
315,13727,9,5,12,20,1,1
425,13837,10,25,12,17,1,1
950,14362,10,30,12,24,1,1
158,13570,11,18,12,2,1,2
615,14027,11,10,12,16,1,1
580,13992,12,5,12,24,1,1
943,14355,12,30,12,11,1,2
244,13656,13,29,12,4,1,2
979,14391,13,25,12,6,1,2
166,13578,14,5,12,15,1,1
865,14277,15,27,12,2,1,2
884,14296,15,18,12,15,1,1
175,13587,16,29,12,9,1,2
220,13632,16,19,12,6,1,2
915,14327,16,26,12,21,1,1
945,14357,16,24,12,11,1,2
518,13930,17,12,12,2,1,2
32,13444,18,22,12,15,1,1
215,13627,20,10,12,6,1,2
514,13926,20,30,12,20,1,1
861,14273,20,23,12,9,1,2
382,13794,21,14,12,3,1,2
284,13696,24,4,12,5,1,2
655,14067,24,25,12,20,1,1
796,14208,24,22,12,18,1,1
817,14229,24,30,12,15,1,1
20,13432,25,14,12,15,1,1
140,13552,25,15,12,10,1,2
509,13921,26,9,12,23,1,1
510,13922,26,1,12,15,1,1
753,14165,26,10,12,9,1,2
72,13484,27,17,12,4,1,2
937,14349,27,3,12,1,1,2
123,13535,28,8,12,17,1,1
722,14134,28,26,12,21,1,1
818,14230,28,30,12,3,1,2
489,13901,30,2,12,8,1,2
752,14164,30,11,12,8,1,2
819,14231,30,3,12,2,1,2
65,13477,1,3,13,24,1,1
727,14139,1,23,13,18,1,1
891,14303,1,10,13,4,1,2
531,13943,4,1,13,4,1,2
620,14032,4,20,13,15,1,1
134,13546,6,1,13,18,1,1
253,13665,7,21,13,9,1,2
802,14214,8,11,13,18,1,1
744,14156,9,20,13,6,1,2
906,14318,9,18,13,24,1,1
569,13981,10,6,13,3,1,2
135,13547,11,14,13,11,1,2
29,13441,12,14,13,16,1,1
433,13845,12,7,13,7,1,2
829,14241,12,27,13,16,1,1
87,13499,13,25,13,15,1,1
699,14111,13,23,13,19,1,1
830,14242,13,11,13,11,1,2
944,14356,13,25,13,10,1,2
288,13700,16,26,13,6,1,2
314,13726,16,15,13,8,1,2
872,14284,16,24,13,6,1,2
294,13706,17,6,13,21,1,1
311,13723,17,2,13,22,1,1
395,13807,17,9,13,6,1,2
873,14285,18,14,13,19,1,1
246,13658,20,10,13,1,1,2
70,13482,21,7,13,8,1,2
88,13500,23,28,13,15,1,1
657,14069,23,25,13,5,1,2
99,13511,25,6,13,18,1,1
317,13729,25,26,13,16,1,1
513,13925,25,7,13,11,1,2
593,14005,25,30,13,9,1,2
82,13494,27,14,13,22,1,1
764,14176,27,26,13,2,1,2
126,13538,29,2,13,23,1,1
662,14074,29,4,13,16,1,1
869,14281,30,25,13,5,1,2
241,13653,1,22,14,11,1,2
626,14038,1,5,14,19,1,1
838,14250,1,6,14,7,1,2
632,14044,2,22,14,18,1,1
956,14368,3,11,14,13,1,2
586,13998,4,25,14,2,1,2
466,13878,5,19,14,2,1,2
661,14073,5,15,14,10,1,2
708,14120,6,16,14,13,1,2
820,14232,6,11,14,21,1,1
142,13554,7,27,14,13,1,2
364,13776,7,4,14,15,1,1
933,14345,7,17,14,15,1,1
78,13490,8,1,14,18,1,1
271,13683,8,7,14,6,1,2
503,13915,8,24,14,18,1,1
947,14359,8,3,14,9,1,2
207,13619,9,27,14,8,1,2
647,14059,9,14,14,16,1,1
66,13478,10,16,14,22,1,1
195,13607,11,13,14,1,1,2
875,14287,11,12,14,18,1,1
787,14199,12,28,14,23,1,1
557,13969,13,21,14,9,1,2
616,14028,17,20,14,4,1,2
895,14307,18,4,14,13,1,2
147,13559,20,21,14,2,1,2
670,14082,20,26,14,17,1,1
794,14206,20,11,14,24,1,1
908,14320,20,3,14,7,1,2
457,13869,24,2,14,12,1,2
687,14099,24,16,14,7,1,2
186,13598,25,12,14,13,1,2
235,13647,25,14,14,21,1,1
274,13686,25,13,14,11,1,2
320,13732,26,6,14,16,1,1
651,14063,26,10,14,20,1,1
422,13834,27,19,14,12,1,2
767,14179,27,16,14,3,1,2
811,14223,27,25,14,1,1,2
832,14244,27,10,14,20,1,1
841,14253,27,25,14,16,1,1
720,14132,29,16,14,2,1,2
77,13489,2,15,15,19,1,1
878,14290,2,1,15,5,1,2
297,13709,3,27,15,22,1,1
463,13875,4,9,15,17,1,1
642,14054,5,25,15,8,1,2
704,14116,6,15,15,11,1,2
80,13492,7,24,15,5,1,2
659,14071,7,29,15,2,1,2
543,13955,8,24,15,1,1,2
652,14064,8,21,15,8,1,2
268,13680,9,21,15,18,1,1
357,13769,9,20,15,10,1,2
270,13682,12,1,15,18,1,1
11,13423,14,15,15,8,1,2
318,13730,14,10,15,22,1,1
892,14304,14,7,15,24,1,1
418,13830,15,13,15,19,1,1
860,14272,15,6,15,19,1,1
93,13505,16,11,15,18,1,1
703,14115,18,20,15,16,1,1
799,14211,20,8,15,17,1,1
103,13515,21,15,15,23,1,1
384,13796,22,18,15,12,1,2
559,13971,22,29,15,20,1,1
763,14175,22,16,15,14,1,2
974,14386,22,30,15,22,1,1
394,13806,24,21,15,5,1,2
747,14159,26,30,15,12,1,2
71,13483,28,15,15,23,1,1
204,13616,28,4,15,22,1,1
410,13822,28,6,15,20,1,1
122,13534,29,10,15,23,1,1
416,13828,29,27,15,13,1,2
614,14026,29,30,15,24,1,1
55,13467,30,23,15,7,1,2
285,13697,30,19,15,1,1,2
353,13765,30,8,15,6,1,2
209,13621,1,13,16,17,1,1
928,14340,1,30,16,21,1,1
221,13633,2,27,16,1,1,2
424,13836,3,27,16,1,1,2
975,14387,3,20,16,9,1,2
177,13589,5,17,16,1,1,2
445,13857,6,22,16,23,1,1
469,13881,6,4,16,21,1,1
495,13907,6,14,16,22,1,1
119,13531,7,6,16,8,1,2
375,13787,7,14,16,21,1,1
7,13419,8,12,16,4,1,2
115,13527,8,20,16,4,1,2
193,13605,8,4,16,18,1,1
594,14006,9,15,16,13,1,2
606,14018,9,21,16,17,1,1
610,14022,9,8,16,18,1,1
183,13595,13,16,16,10,1,2
653,14065,13,19,16,15,1,2
405,13817,14,21,16,5,1,2
121,13533,15,12,16,1,1,2
671,14083,15,17,16,1,1,2
779,14191,15,1,16,21,1,1
929,14341,15,6,16,11,1,2
948,14360,15,1,16,17,1,1
993,14405,16,1,16,23,1,1
234,13646,17,21,16,3,1,2
236,13648,17,29,16,21,1,1
389,13801,17,30,16,6,1,2
750,14162,17,16,16,2,1,2
33,13445,20,7,16,17,1,1
278,13690,20,8,16,24,1,1
151,13563,22,11,16,9,1,2
292,13704,22,4,16,2,1,2
886,14298,22,8,16,19,1,1
458,13870,23,11,16,6,1,2
672,14084,23,10,16,19,1,1
154,13566,24,9,16,12,1,2
907,14319,24,2,16,1,1,2
798,14210,25,24,16,17,1,1
60,13472,26,25,16,22,1,1
167,13579,28,18,16,24,1,1
482,13894,28,29,16,20,1,1
553,13965,30,29,16,17,1,1
856,14268,30,18,16,24,1,1
373,13785,1,21,17,7,1,2
456,13868,1,30,17,24,1,1
516,13928,2,29,17,18,1,1
256,13668,3,17,17,20,1,1
238,13650,4,7,17,20,1,1
343,13755,4,6,17,5,1,2
474,13886,4,20,17,20,1,1
686,14098,5,24,17,3,1,2
721,14133,5,21,17,6,1,2
290,13702,6,5,17,7,1,2
983,14395,6,30,17,20,1,1
213,13625,7,28,17,23,1,1
740,14152,7,9,17,22,1,1
412,13824,8,22,17,24,1,1
574,13986,8,27,17,6,1,2
355,13767,10,28,17,1,1,2
76,13488,12,1,17,20,1,1
535,13947,12,6,17,6,1,2
773,14185,12,24,17,1,1,2
814,14226,12,2,17,21,1,1
898,14310,12,17,17,4,1,2
6,13418,13,14,17,2,1,2
877,14289,13,6,17,13,1,2
131,13543,14,22,17,12,1,2
132,13544,14,20,17,12,1,2
149,13561,14,27,17,2,1,2
738,14150,14,12,17,24,1,1
698,14110,16,17,17,5,1,2
867,14279,16,6,17,1,1,2
85,13497,18,28,17,4,1,2
133,13545,18,6,17,21,1,1
421,13833,19,1,17,1,1,2
13,13425,21,19,17,14,1,2
48,13460,21,19,17,19,1,1
160,13572,23,7,17,15,1,2
691,14103,23,18,17,12,1,2
442,13854,24,28,17,20,1,1
770,14182,25,13,17,24,1,1
973,14385,26,29,17,4,1,2
173,13585,27,18,17,24,1,1
743,14155,27,7,17,13,1,2
989,14401,27,22,17,3,1,2
732,14144,30,7,17,2,1,2
172,13584,1,10,18,23,1,1
111,13523,2,15,18,11,1,2
322,13734,2,14,18,1,1,2
337,13749,2,18,18,22,1,1
25,13437,3,6,18,17,1,2
565,13977,3,4,18,4,1,2
987,14399,4,25,18,15,1,2
529,13941,5,12,18,13,1,2
709,14121,5,18,18,3,1,2
785,14197,5,15,18,23,1,1
491,13903,6,18,18,14,1,2
583,13995,6,23,18,19,1,1
980,14392,6,13,18,3,1,2
335,13747,7,2,18,15,1,2
443,13855,7,9,18,24,1,1
35,13447,8,2,18,12,1,2
352,13764,9,25,18,11,1,2
598,14010,9,18,18,3,1,2
12,13424,10,12,18,20,1,1
539,13951,10,6,18,24,1,1
801,14213,11,28,18,9,1,2
812,14224,12,2,18,19,1,1
864,14276,12,6,18,3,1,2
18,13430,13,17,18,17,1,2
434,13846,13,20,18,5,1,2
567,13979,13,12,18,14,1,2
982,14394,13,4,18,7,1,2
795,14207,17,20,18,20,1,1
622,14034,18,23,18,2,1,2
707,14119,18,14,18,21,1,1
383,13795,20,3,18,3,1,2
885,14297,21,18,18,19,1,1
921,14333,22,28,18,21,1,1
562,13974,24,13,18,8,1,2
630,14042,24,10,18,2,1,2
545,13957,27,2,18,19,1,1
349,13761,28,25,18,11,1,2
863,14275,28,23,18,9,1,2
156,13568,29,14,18,7,1,2
955,14367,30,5,18,7,1,2
417,13829,1,25,19,20,1,1
467,13879,2,12,19,21,1,1
754,14166,2,23,19,13,1,2
922,14334,2,1,19,8,1,2
64,13476,3,11,19,11,1,2
187,13599,5,9,19,12,1,2
201,13613,5,30,19,21,1,1
381,13793,6,22,19,5,1,2
10,13422,9,15,19,23,1,1
674,14086,10,17,19,9,1,2
916,14328,12,14,19,16,1,2
419,13831,13,12,19,8,1,2
28,13440,15,12,19,21,1,1
494,13906,17,9,19,4,1,2
483,13895,18,28,19,24,1,1
902,14314,18,15,19,22,1,1
372,13784,23,6,19,9,1,2
731,14143,24,1,19,22,1,1
783,14195,24,19,19,16,1,2
608,14020,25,5,19,22,1,1
809,14221,26,9,19,22,1,1
57,13469,27,16,19,21,1,1
188,13600,27,30,19,10,1,2
197,13609,27,15,19,6,1,2
971,14383,28,9,19,13,1,2
398,13810,29,24,19,24,1,1
846,14258,29,13,19,22,1,1
461,13873,30,5,19,18,1,2
468,13880,1,18,20,23,1,1
300,13712,2,24,20,2,1,2
547,13959,2,9,20,7,1,2
633,14045,3,4,20,5,1,2
333,13745,5,6,20,18,1,2
927,14339,5,3,20,21,1,1
498,13910,7,16,20,15,1,2
899,14311,8,25,20,21,1,1
914,14326,8,6,20,14,1,2
511,13923,9,7,20,10,1,2
636,14048,10,22,20,7,1,2
508,13920,11,28,20,11,1,2
803,14215,11,15,20,2,1,2
174,13586,14,30,20,6,1,2
462,13874,14,3,20,9,1,2
669,14081,14,8,20,2,1,2
324,13736,17,18,20,15,1,2
223,13635,18,17,20,23,1,1
551,13963,19,21,20,15,1,2
599,14011,19,5,20,6,1,2
